fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,good_quality,fixed_acidity:log_fixed_acidity,volatile_acidity:log_volatile_acidity,citric_acid:log_citric_acid,residual_sugar:log_residual_sugar,chlorides:log_chlorides,free_sulfur_dioxide:log_free_sulfur_dioxide,total_sulfur_dioxide:log_total_sulfur_dioxide,density:log_density,pH:log_pH,sulphates:log_sulphates,alcohol:log_alcohol,fixed_acidity:sq_fixed_acidity,volatile_acidity:sq_volatile_acidity,citric_acid:sq_citric_acid,residual_sugar:sq_residual_sugar,chlorides:sq_chlorides,free_sulfur_dioxide:sq_free_sulfur_dioxide,total_sulfur_dioxide:sq_total_sulfur_dioxide,density:sq_density,pH:sq_pH,sulphates:sq_sulphates,alcohol:sq_alcohol,fixed_acidity:fixed_acidity_recip,volatile_acidity:volatile_acidity_recip,citric_acid:citric_acid_recip,residual_sugar:residual_sugar_recip,chlorides:chlorides_recip,free_sulfur_dioxide:free_sulfur_dioxide_recip,total_sulfur_dioxide:total_sulfur_dioxide_recip,density:density_recip,pH:pH_recip,sulphates:sulphates_recip,alcohol:alcohol_recip
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0,14.81095200155492,-0.2496724607571127,,1.21952238372755,-0.19585366734088128,26.376848000782076,119.89625783694949,-0.0021975782233785994,4.407212291546989,-0.3246983573416476,21.062671079194004,54.760000000000005,0.48999999999999994,0.0,3.61,0.005776,121.0,1156.0,0.99560484,12.320099999999998,0.31360000000000005,88.36000000000001,0.13513513513513511,1.4285714285714286,0.0,0.5263157894736842,13.157894736842106,0.09090909090909091,0.029411764705882353,1.0022048506714771,0.2849002849002849,1.7857142857142856,0.10638297872340426
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,0,16.022165122825257,-0.1124933669286987,,2.4843297570713347,-0.22763320443053336,80.47189562170502,281.7144054991947,-0.003194874529911701,3.7220825913781788,-0.2622504869521496,22.367347379629962,60.839999999999996,0.7744,0.0,6.760000000000001,0.009604000000000001,625.0,4489.0,0.9936102400000001,10.240000000000002,0.4624000000000001,96.04000000000002,0.12820512820512822,1.1363636363636365,9e-323,0.3846153846153846,10.204081632653061,0.04,0.014925373134328358,1.0032102728731942,0.3125,1.4705882352941175,0.1020408163265306
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,0,16.022165122825257,-0.20857200273333784,-0.12875503299472804,1.9156909827507391,-0.2195089365778449,40.62075301653315,215.40513851447082,-0.002995495493237828,3.852430656934289,-0.2800088954600953,22.367347379629962,60.839999999999996,0.5776,0.0016,5.289999999999999,0.008464,225.0,2916.0,0.994009,10.6276,0.42250000000000004,96.04000000000002,0.12820512820512822,1.3157894736842106,25.0,0.4347826086956522,10.869565217391305,0.06666666666666667,0.018518518518518517,1.0030090270812437,0.3067484662576687,1.5384615384615383,0.1020408163265306
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,1,27.058234316971745,-0.3564303892276085,-0.3246983573416476,1.21952238372755,-0.19427003740843699,48.16462684895568,245.66067373332604,-0.0019979986653317332,3.6358076072122736,-0.3159417617561698,22.367347379629962,125.43999999999998,0.07840000000000001,0.31360000000000005,3.61,0.005625,289.0,3600.0,0.996004,9.985600000000002,0.3364,96.04000000000002,0.08928571428571429,3.571428571428571,1.7857142857142856,0.5263157894736842,13.333333333333334,0.058823529411764705,0.016666666666666666,1.002004008016032,0.3164556962025316,1.7241379310344829,0.1020408163265306
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,0,14.81095200155492,-0.2496724607571127,,1.21952238372755,-0.19585366734088128,26.376848000782076,119.89625783694949,-0.0021975782233785994,4.407212291546989,-0.3246983573416476,21.062671079194004,54.760000000000005,0.48999999999999994,0.0,3.61,0.005776,121.0,1156.0,0.99560484,12.320099999999998,0.31360000000000005,88.36000000000001,0.13513513513513511,1.4285714285714286,1.1e-322,0.5263157894736842,13.157894736842106,0.09090909090909091,0.029411764705882353,1.0022048506714771,0.2849002849002849,1.7857142857142856,0.10638297872340426
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,0,14.81095200155492,-0.2742401930146994,,1.0580159968238143,-0.19427003740843699,33.34434164699998,147.55517816455745,-0.0021975782233785994,4.407212291546989,-0.3246983573416476,21.062671079194004,54.760000000000005,0.43560000000000004,0.0,3.24,0.005625,169.0,1600.0,0.99560484,12.320099999999998,0.31360000000000005,88.36000000000001,0.13513513513513511,1.5151515151515151,,0.5555555555555556,13.333333333333334,0.07692307692307693,0.025,1.0022048506714771,0.2849002849002849,1.7857142857142856,0.10638297872340426
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,0,16.32821579983651,-0.30649537425959444,-0.1688046430056022,0.7520058067931771,-0.18448176543255657,40.62075301653315,240.57470919043746,-0.0035935122099729415,3.939944145959033,-0.35720324316953833,21.062671079194004,62.410000000000004,0.36,0.0036,2.5600000000000005,0.0047610000000000005,225.0,3481.0,0.9928129599999999,10.889999999999999,0.2116,88.36000000000001,0.12658227848101264,1.6666666666666667,16.666666666666668,0.625,14.492753623188404,0.06666666666666667,0.01694915254237288,1.0036130068245686,0.30303030303030304,2.1739130434782608,0.10638297872340426
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,1,14.51148274152672,-0.2800088954600953,,0.2187858681527455,-0.1776689205906225,40.62075301653315,63.93497119219188,-0.005385393684910748,4.1386134335200975,-0.3548606146106754,23.02585092994046,53.29,0.42250000000000004,0.0,1.44,0.0042250000000000005,225.0,441.0,0.98922916,11.4921,0.22089999999999999,100.0,0.136986301369863,1.5384615384615383,,0.8333333333333334,15.384615384615383,0.06666666666666667,0.047619047619047616,1.0054293183189222,0.2949852507374631,2.127659574468085,0.1
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,1,16.022165122825257,-0.3159417617561698,-0.07824046010856292,1.3862943611198906,-0.19106259616186344,19.775021196025975,52.02669164213096,-0.003194874529911701,4.072121672556379,-0.32040778334751846,21.387272086761705,60.839999999999996,0.3364,0.0004,4.0,0.0053289999999999995,81.0,324.0,0.9936102400000001,11.289599999999998,0.32489999999999997,90.25,0.12820512820512822,1.7241379310344829,50.0,0.5,13.698630136986303,0.1111111111111111,0.05555555555555555,1.0032102728731942,0.2976190476190476,1.7543859649122808,0.10526315789473684
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,0,15.111772654066986,-0.34657359027997264,-0.3677944491115133,11.03056150419352,-0.18780035353779834,48.16462684895568,471.7472269549956,-0.0021975782233785994,4.0500171585538665,-0.17851484105136775,24.689440200216517,56.25,0.25,0.1296,37.209999999999994,0.0050409999999999995,289.0,10404.0,0.99560484,11.2225,0.6400000000000001,110.25,0.13333333333333333,2.0,2.7777777777777777,0.1639344262295082,14.084507042253522,0.058823529411764705,0.00980392156862745,1.0022048506714771,0.29850746268656714,1.25,0.09523809523809523
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,0,12.744120426859366,-0.3159417617561698,-0.20205829154466046,1.0580159968238143,-0.22630529714643918,40.62075301653315,271.3351725432164,-0.004091583489560564,3.8961264254590513,-0.33274051528886117,20.41667205330595,44.89,0.3364,0.0064,3.24,0.009409,225.0,4225.0,0.99181681,10.758399999999998,0.2916,84.63999999999999,0.14925373134328357,1.7241379310344829,12.5,0.5555555555555556,10.309278350515463,0.06666666666666667,0.015384615384615385,1.0041168792047395,0.3048780487804878,1.8518518518518516,0.10869565217391305
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,0,15.111772654066986,-0.34657359027997264,-0.3677944491115133,11.03056150419352,-0.18780035353779834,48.16462684895568,471.7472269549956,-0.0021975782233785994,4.0500171585538665,-0.17851484105136775,24.689440200216517,56.25,0.25,0.1296,37.209999999999994,0.0050409999999999995,289.0,10404.0,0.99560484,11.2225,0.6400000000000001,110.25,0.13333333333333333,2.0,2.7777777777777777,0.1639344262295082,14.084507042253522,0.058823529411764705,0.00980392156862745,1.0022048506714771,0.29850746268656714,1.25,0.09523809523809523
